title,city,phone,website,reviews,rating,address
Shrug Life CF,Kansal,+91 98759 35778,https://www.shruglife.in/,109,4.7,"Sukhna Enclave, 56/57, Main Ave, Kaimbwala, Kansal, Sector 1, Kansal, Punjab 160103, India"
Trainwithpacific,Chandigarh,+91 97800 18388,http://trainwithpacific.com/,61,5,"1, Azaadi Rte, 10D, Sector 10, Chandigarh, 160011, India"
Neo Spartan Fitness | Gym in Chandigarh | Fitness Center & Personal Trainer,Chandigarh,+91 81949 67484,https://neospartan.in/,209,4.6,"Sco 2927-2928 basement, near hotel diamond, Sector 22C, Chandigarh, 160022, India"
Brodeway Etender डिजिटल signature Gym,Chandigarh,+91 92164 16567,http://www.brodeway.in/,25,4.4,"PLOT NO 1760 Deep Complex, Hallo Majra, Chandigarh, 160002, India"
GLOBAL GYM FACTORY,Chandigarh,+91 85578 83309,http://www.speedfitness.co.in/,,,"1528, Deep Complex, Hallo Majra, Chandigarh, 160002, India"
Hox Fitness,Chandigarh,+91 70873 20007,http://hoxfitness.com/,163,4.4,"Hotel Mountview, Sector 10A, Sector 10, Chandigarh, 160011, India"
Fitness Continues,"Nayagaon, Sahibzada Ajit Singh Nagar",+91 99887 77547,https://fitness-continues.business.site/?utm_source=gmb&utm_medium=referral,30,5,"Block H, Shivalik Vihar Road, Nayagaon, Sahibzada Ajit Singh Nagar, Chandigarh 160103, India"
Akhada Health and Fitness Club,Chandigarh,+91 92186 04441,http://www.akhadagym.com/,584,4.9,"SCO 34,Sector, 33D, Chandigarh, 160020, India"
Yog Amore,"Chandigarh, Kansal",,http://www.yogamoreshala.com/,85,5,"Kansal Enclave, YogAmoreShala, behind Chandigarh Club, Sector 1, Chandigarh, 160103, India"
Pro Ultimate Gyms - Aroma 22 Chandigarh,Chandigarh,+91 76964 83559,https://proultimategyms.in/,1086,4.8,"2nd Floor, Hotel Aroma Complex, Sector 22C, Sector 22, Chandigarh, 160022, India"
Zumba Certification course,Chandigarh,,http://leafzumba.com/,11,5,"Sector 21A, Sector 21, Chandigarh, 160022, India"
Anytime Fitness,Chandigarh,+91 86993 99800,https://www.anytimefitness.com/en-in/locations/chandigarh-chandigarh-in-1107,732,4.6,"1st & 2nd Floor, Sco 107 & 108, 43B, Sector 43, Chandigarh, 160022, India"
Flex Gym,Chandigarh,+91 98033 00112,https://flexgym41.netlify.app/,192,4.2,"2nd Floor, sco no. 6 & 7 sector, Sector 41D, Badheri, Sector 41, Chandigarh, 160036, India"
Gurbilas Health Club ( GYM ),Sahibzada Ajit Singh Nagar,+91 98156 24334,http://ghcnutritionchd.com/,133,4.5,"SCO 18, Top Floor, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar, Chandigarh 160055, India"
Pro Ultimate Gyms,Chandigarh,+91 86428 00044,https://proultimategyms.in/sector-44-c-chandigarh/,975,4.9,"SCO 255-256, Top Floor, 44C, Sector 44, Chandigarh, 160043, India"
- Sec 22,Chandigarh,,http://ozigym.com/,371,4.2,"SCO 3013-14, Dakshin Marg, Sector 22D, Sector 22, Chandigarh, 160022, India"
Divine Soul Yoga,Chandigarh,+91 93892 53652,http://www.divinesoulyoga.com/,121,5,"Dhyan Vatika, 289, Sector 10A, Sector 10, Chandigarh, 160011, India"
Yogshakha | Yoga Studio,Chandigarh,+91 78144 08051,https://yogshakha.in/,19,5,"Shopping Plaza, 17C, Sector 17, Chandigarh, 160017, India"
Svadhyo Yogshala,Chandigarh,+91 94167 25496,https://www.svadhyoyogshala.com/home,142,5,"Sector 37A, Sector 37, Chandigarh, 160037, India"
Santushti Yoga Lounge by Rohan,Chandigarh,+91 98726 24884,https://santushtibylavleen.com/yoga-classes-chandigarh,183,5,"SCO 2422, Sector 22C, Sector 22, Chandigarh, 160022, India"
Ajay Health & Wellness Center | Weight Loss & Fitness Club,Chandigarh,+91 98886 99760,https://sites.google.com/view/ajaywellnesscenter/home,78,5,"FIRST FLOOR, SCO NO 89, Sector 38C, Sector 38, Chandigarh, 160036, India"
SB Wellness Center,Chandigarh,,http://www.drshalinderkaur.com/,26,4.8,"1929, 34D, Sector 34, Chandigarh, 160022, India"
Tritam Moksha Spa,Chandigarh,+91 98784 09429,https://tritammoksha.in/,234,4.7,"1st Floor, SCO 423/24, 35C, Sector 35, Chandigarh, 160022, India"
Yogabhyasa Studio,Chandigarh,+91 84271 60352,https://boroktimes.com/chandigarh-player-parbhakar-yoga-artist-won-14-madles-in-different-sports-senior-national-championships/,538,5,"kala Kendra, Plot number 28,29, Sector 24C, Sector 24, Chandigarh, 160023, India"
Chandigarh Wellness Centre,Chandigarh,+91 172 263 0692,https://visualize.data.gov.in/?inst=8eede3a2-1652-49eb-bd7f-48ae3ea7a11e,2,5,"Old U.T, Polyclinic Building, Sector 45C, Sector 45, Chandigarh, 160047, India"
Heavenly touch,Chandigarh,+91 98963 04255,https://heavenlytouchspa.in/,5,5,"second floor, Sco 415-416, near gopal sweets, 35C, Sector 35, Chandigarh, 160022, India"
Syndicate Gym Industries | Gym equipment manufacturer Chandigarh,Chandigarh,+91 93169 70498,http://www.gymmanufacturer.com/,1,5,"Shop no, 255, Sector 38C, Chandigarh, 160014, India"
Team wind chasers skating academy (Sec 44),Chandigarh,+91 88723 00065,https://twcsportsclub.com/,286,4.9,"St. Joseph sr. sec. School, sector 44, Chandigarh, 160043, India"
Jasmine Kaur - Founder of Healthy Ageing Hub,Chandigarh,,https://connecteacbef.clickfunnels.com/me,1,5,"1929, Fitness Studio(Basement), Sector:34-D, Chandigarh 160022, India"
"Pro Ultimate Gyms - Sector 40 B, Chandigarh",Chandigarh,+91 95226 00040,https://www.proultimategyms.in/,16,4.8,"1st & 2nd Floor, Quite Office No. 6, Sector 40B, Chandigarh, 160036, India"
Yoga In Nerves,Chandigarh,+91 70180 19553,https://yogainnerves.exlyapp.com/,45,5,"Yoga in Nerves,3045/A first floor residential welfare society, Sector 52, Chandigarh, 160062, India"
YogAahar,Chandigarh,,https://yogaahar.com/,19,5,"Ground Floor, SCO 186, Sector 38C, Sector 38, Chandigarh, 160036, India"
Yogkoshal,Chandigarh,+91 94784 43144,https://yogkoshal.grexa.site/,29,5,"The Customs & Central Excise Cooperative Housing Board Society, 1098/1, Sector 51B, Sector 51, Chandigarh, 160043, India"
Training in Tricity - Personal Women Trainer - Zumba - Aerobics - yoga - various dance forms - wedding choerography,Chandigarh,+91 98887 78677,https://fitwithjyoti.carrd.co/,30,4.9,"45D, Sector 45, Chandigarh, 160047, India"
Plexus Yoga | Home Classes,Chandigarh,,https://www.plexusyoga.in/,2,5,"kala Kendra, Plot number 31, Sector 24C, Sector 24, Chandigarh, 160023, India"
TheDetoxYoga,Chandigarh,,https://thedetoxyoga.com/,,,"35B, Sector 35, Chandigarh, 160022, India"
Kalyankari Yoga Studio,Chandigarh,+91 6284 684 772,https://kalyankariyogastudio.com/,33,4.9,"1562, 34D, Sector 34, Chandigarh, 160022, India"
Legacee Gyms & Spa,Chandigarh,+91 97800 34111,https://legacee-gyms-spa-gym.grexa.site/,275,4.7,"4th Floor, SCO 23-24-25, Sector 34A, Sector 34, Chandigarh, 160022, India"
Oxizone Fitness & Spa,Chandigarh,+91 90410 33777,https://www.oxizonefitness.com/,707,4.4,"Sco 321, Sector 38-D, Sector 38, Chandigarh, 160014, India"
Fitness Matters,Chandigarh,+91 98880 28021,https://www.fitnessmatters.org/,241,4.8,"First Floor, SCO 3013, near Malwa Tyres, Sector 22D, Sector 22, Chandigarh, 160022, India"
New Horizon Fitness Zone,Sahibzada Ajit Singh Nagar,+91 81120 60050,https://newhorizonfitnesszone.my.canva.site/,13,5,"458, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India"
Reflex Gym,Chandigarh,+91 86993 49645,https://reflexgym44.com/,117,4.6,"inside Shri Chaitanya School, Sector 44 B, 44B, Sector 44, Chandigarh, 160043, India"
Rock 'n' Roll Dance Modeling Acting Academy Chandigarh,Chandigarh,+91 98889 99989,https://www.rocknrollchandigarh.com/,85,5,"Sco 288 First Floor, above Raymond showroom, Market 35 D, Sector 35D, Sector 35, Chandigarh, 160022, India"
VZN Fitness,Chandigarh,+91 85568 64571,https://vznfitness.com/,101,4.9,"SCO-69, Sector-31C, Sector 31, Chandigarh, 160030, India"
"Pro Ultimate Gyms - Sector 32, Chandigarh",Chandigarh,+91 99272 00032,https://proultimategyms.in/,725,4.8,"SCO 66-67, Floor, 1-2, C-D, Sector 32, Chandigarh, 160030, India"
Pro Ultimate Gyms Sector 34A Chandigarh,Chandigarh,+91 98885 10034,https://proultimate.com/,194,4.8,"third floor, SCO 358&359, Sector 34A, Sector 34, Chandigarh, 160022, India"
Vault By Virat Kohli Chandigarh,Chandigarh,+91 97790 01444,https://www.vaultbyviratkohli.com/,114,4.8,"SCO 156-160, Sector 8C, Sector 8, Chandigarh, 160009, India"
Instayog Salsa bachata kizomba zumba yoga classes,Chandigarh,,https://www.instayog.com/,10,5,"sco 288, Market 35 D, Sector 35D, Sector 35, Chandigarh, 160022, India"
Shashvat Ayurveda Clinic and Panchkarma Centre Chandigarh,Chandigarh,+91 90560 44427,https://shashvatayurveda.com/,19,4.8,"SCO-326, 40D, Sector 40D, Chandigarh, 160036, India"
Advait Yog Siddhant,,+91 88941 98130,http://www.advaityogsiddhant.com/,81,4.9,
Maharishi Yoga Health Foundation,Chandigarh,+91 98884 66604,https://maharishiyoga.in/,49,4.8,"Ground Floor, Sco 128-129, Sector 34A, Sector 34, Chandigarh, 160022, India"
"Aarogya Yoga | Meditation, Yoga, and Wellness Studio",Chandigarh,+91 94784 23792,https://www.aarogyayoga.com/,58,5,"House, Number 10C, Army Flats, C-10, near Gurudwara, Sector 44 A, 44B, Sector 44, Chandigarh, 160043, India"
Krishnamacharya Ashtanga Viniyoga,Chandigarh,+91 78892 81286,http://www.kavyoga.com/,78,5,"279, Sector 33 Market Rd, 33A, Sector 33, Chandigarh, 160020, India"
The Kings Academy of Martial Arts,Chandigarh,+91 97800 55644,https://mmagymchd.com/,227,4.9,"SCO 29, Top Floor, Near Landmark Hospital, Sector 33 D, opp. Terrace Garden, Chandigarh, 160020, India"
BTF Gym Chandigarh,Chandigarh,+91 77195 60422,https://boxtofit.in/,35,4.7,"SCO 1076-1077, Sector 22B, Sector 22, Chandigarh, 160022, India"
Gym13 Sector 22,Chandigarh,+91 98572 90013,http://www.gym13.in/,222,4.6,"SCO 1106 -7 Top Floor, above Toy Mart, Sector 22B, Chandigarh, 160022, India"
Divine Yoga Centre,Chandigarh,+91 90232 92908,https://sites.google.com/view/divineyoganeelima/home,24,5,"449, Shanti Path, Sector 46A, Sector 46, Chandigarh, 160047, India"
Secret Gym Society,Chandigarh,+91 62394 22232,https://secretgymsociety.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAb21jcAPIGThleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaciHFr5emF2OPlXkGtyn7T1MVRoKmM31U7A6AEILWziYW-PKM00t1lLS4KWSQ_aem_AJNBC3_mDHJEkCIIw16pnA,9,5,"Number 1170, 2nd Floor, Sector 15 B, House, Chandigarh, 160015, India"
Elite Edge Gym and Spa,Chandigarh,+91 99883 83434,https://eliteedgegyms.com/,302,4.5,"4th Floor, Sector 34A, Sector 34, Chandigarh, 160022, India"
Adhere To Fit - Professional personal trainer in chandigarh,Chandigarh,+91 98766 12001,https://adheretofit.com/,56,5,"Sector 17A, Sector 17, Chandigarh, 160017, India"
Amshi Fitness,Chandigarh,+91 98767 25092,https://amshi.fit/,22,5,"House Number 1170, 2nd Floor, B, 15B, Sector 15, Chandigarh, 160015, India"
Yog Divya Mandir Eva Chikitsalay,Chandigarh,+91 172 265 7611,http://www.syaat.org/,63,4.6,"Sukhna Path, Sector 30A, Sector 19C, Sector 19, Chandigarh, 160030, India"
"The Pilates Studio , Chandigarh",Chandigarh,+91 70094 61035,http://www.pilatesaltitude.com/,30,4.8,"S.C.O. Number 45, 46-47, Sector 17A, Chandigarh, 160017, India"
The Little Gym of Chandigarh,Chandigarh,+91 81466 69894,http://www.thelittlegym.in/,31,4.9,"Top Floor, SCO 131-132, Shopping Plaza, 17C, Sector 17, Chandigarh, 160017, India"
Yoga Classes in Chandigarh Personal Trainer,Chandigarh,+91 79883 54495,https://yogaclassesinchandigarh.com/,13,5,"House no, 44 44, Sector 9A, Sector 9, Sector 22, Chandigarh, 160009, India"
Fitness Physique First,,+91 98779 23728,https://followmysite.com/fitness,47,5,
"Tutor and You (Best Fitness and Yoga Trainers | Personal Trainers in Chandigarh, Mohali, Panchkula)",,+91 98153 03979,https://tutorandyou.com/,,,
Yog Cafe,Chandigarh,,http://www.kavalyoga.com/,42,5,"House no 242, Shringaar, Opp Punajb Kala Bhawan, Near Rose Garden, Sector16-A, Chandigarh 160015, India"
Anytime Fitness,Chandigarh,+91 98514 00048,https://www.anytimefitness.com/en-in/locations/chandigarh-chandigarh-in-1058,844,4.3,"Sco No 98 to 100, 3rd Floor, 17D, Chandigarh, 160017, India"
Prakritik Chikitsa And Jeevan Kendra,Chandigarh,+91 172 277 0976,http://www.centralgandhismaraknidhi.org/,,,"Gandhi Smarak Bhawan, Sector 16 A, Sector 16, Chandigarh, 160015, India"
Healing Hands Chiro & Wellness Clinic,Chandigarh,+91 83606 84694,https://www.healinghandschiroandwellnessclinic.com/,239,4.8,"ground, 1128, Sector 34C, Chandigarh, 160022, India"
Pro Ultimate Gyms - Sec 46 Chandigarh,Chandigarh,+91 93567 04646,http://www.proultimategyms.in/,1359,4.7,"SCO 65,66,67,68 , TOP FLOOR, Sector 46C, Sector 46, Chandigarh, 160047, India"
Art of Living Yoga and Meditation Center(Happiness Program),Sahibzada Ajit Singh Nagar,+91 80545 00840,https://www.artofliving.org/in-en,126,5,"Chandigarh Housing Board Flats, Phase 9, sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Aarogya Sadan,Chandigarh,+91 98883 38575,http://www.aarogyasadan.com/,78,4.8,"3175, Paradise Enclave, Sukhna Path, Sector 50D, Sector 50, Chandigarh, 160047, India"
Muscle Pro-fit Fitness & Gym,Chandigarh,,https://muscleprofit.com/,,,"Sector 14 West, HBC, Dhanas, Chandigarh, 160014, India"
ULTIMATE FITNESS,Sahibzada Ajit Singh Nagar,+91 98887 45521,https://www.ultimatefitness.in/,1470,4.8,"SCF 4-5, Level 1 & 2, Phase 11, Sahibzada Ajit Singh Nagar, Punjab 160055, India"
Pro Ultimate Gyms - Medallion 68,Sahibzada Ajit Singh Nagar,+91 77450 00068,https://www.proultimategyms.in/,186,4.7,"2nd Floor, Medallion 68, SCO 242-249, Sector 68, Kumbra, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
XO Fitness Mohali,Sahibzada Ajit Singh Nagar,+91 62396 37977,http://www.xofitness.in/,289,4.9,"506, Level 2, SCO, 3, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Fitway Gym,Sahibzada Ajit Singh Nagar,+91 62396 13249,http://fitwaygym.in/,220,4.9,"Sco 34-35, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Anytime Fitness,Sahibzada Ajit Singh Nagar,+91 76963 11148,https://www.anytimefitness.com/en-in/locations/mohali-punjab-in-1119,122,4,"2nd Floor, District One, SCO No 42 to 45, Sector 68, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
"Pro Ultimate Gyms - Sector 70, Mohali",Sahibzada Ajit Singh Nagar,+91 82888 06770,https://proultimategyms.in/best-gym-in-mohali-sector-70/,711,4.9,"SCO 28-29, Floor, 2-3, near Hotel Miraj, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Oxizone Fitness & Spa - Gym In Mohali,Sahibzada Ajit Singh Nagar,+91 172 353 4942,https://www.oxizonefitness.com/,564,4.5,"Site No. 1, Mattaur Rd, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
kr fitness studio,Chandigarh,,http://www.krfitnessstudio.in/,36,5,"Housing board, 2969/49D, near PINK ROSE SOCIETY, Sector 49, Chandigarh, 160047, India"
YoKalp (Pilates & Yoga Studio),Sahibzada Ajit Singh Nagar,+91 6284 833 593,https://yokalp.com/sec-68-mohali/,196,4.8,"Sco-2, near Waycup Cafe, Sector 68, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Elevate Wellness Club - Best Gym in Mohali,Sahibzada Ajit Singh Nagar,+91 172 500 4122,https://true-elevate.com/,505,4.6,"SCO 112 to 114, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Burn Gym Phase 9 Mohali | Best Gym in Mohali | Premium Fitness,Sahibzada Ajit Singh Nagar,+91 172 501 0106,https://www.burngym.com/mohali-gym-phase9,1088,4.7,"Punjab Olympic Association, opp. House No 714, Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Pro Ultimate Gyms Sector 117 TDI Mohali,Sahibzada Ajit Singh Nagar,+91 74074 04800,https://proultimategyms.in/,965,4.8,"SCO 142-143, Sector 117, TDI, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
Step2Step Dance Studio,Sahibzada Ajit Singh Nagar,+91 98881 37158,https://www.s2sdancestudio.com/,200,4.5,"SCF 53 Second Floor, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
"Anytime Fitness TDI Park Street, Mohali",Sahibzada Ajit Singh Nagar,+91 92500 00410,https://www.anytimefitness.co.in/gyms/in-1160/mohali-punjab-140301/,51,3.9,"Airport Road, TDI Park Street, Sector 118, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
YOGA SE HOGA,Sahibzada Ajit Singh Nagar,+91 82849 55418,https://yogasehoga.net/,66,4.9,"SCF 17, Phase 5, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160059, India"
Vinay Yoga Trainer,Sahibzada Ajit Singh Nagar,+91 72060 06685,https://vinayyogatrainer.online/,108,5,"First Floor, Hm 23, near GIAN JYOTI GLOBAL SCHOOL, Phase 2, Sector 54, Sahibzada Ajit Singh Nagar, Punjab 160055, India"
Vinyasa Yoga Studio,Sahibzada Ajit Singh Nagar,+91 75970 48895,https://www.vinyoga.in/,89,4.9,"777, Sector 91, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
Empower Aura (Aerial Yoga & Divine Energy),Sahibzada Ajit Singh Nagar,+91 62830 53915,http://www.empoweraura.com/,44,4.7,"SCO-372, FF, TDI SQUARE, Sector 117, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
Archon Fitness Club,Sahibzada Ajit Singh Nagar,+91 90411 79111,https://www.archonfitness.com/,208,4.8,"Floor 6, INDUSTRIAL FOCAL POINT, C-119, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160057, India"
Club 72 Gym by Pro Ultimate,Sahibzada Ajit Singh Nagar,+91 83500 07272,https://www.club72gym.com/,366,4.9,"Phase-8, Plot No. A 33, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Aman health club,Sahibzada Ajit Singh Nagar,,http://www.mahabalishera.com/,29,4.7,"PPGF+Q8P, Phase 1, Sector 55, Phase 1, Mohali Village, Sahibzada Ajit Singh Nagar, Punjab 160055, India"
MOHALI FITNESS CENTER,Sahibzada Ajit Singh Nagar,+91 98759 44424,https://mohaliclub.net/,13,4.5,"BEVERLY SOCIETY, beside THE MOHALI CLUB, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
Pro Phoenixz,Sahibzada Ajit Singh Nagar,+91 95015 96962,https://prophoenixz.com/,51,5,"Top Floor, Dance & Fitness Studio in, SCF - 20, Phase 5, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160059, India"
Dansation Dance Studio,Sahibzada Ajit Singh Nagar,+91 98888 92718,https://dansation.in/,244,4.9,"Scf 44 Top Floor, above O Chicken, Phase 5, Sahibzada Ajit Singh Nagar, Punjab 160059, India"
Dr Manpreet's Physiotherapy and Wellness Clinic - Physiotherapist in Chandigarh,Chandigarh,+91 88726 12296,https://www.drmanpreetkaur.com/,874,5,"16 ,ground floor, young dwellers society, near 49 - 50 lights ( bycycle round about, Sector-49A, Chandigarh, 160047, India"
Shiv.N Success Boxing Academy,Chandigarh,+91 79735 78005,http://shivnsuccess.netlify.app/,44,5,"Sri Chaitanya Techno School, opposite Laxmi Narayan Mandir, 44B, Sector 44, Chandigarh, 160043, India"
Body Works Gym & Spa,Sahibzada Ajit Singh Nagar,+91 6284 138 209,https://sites.google.com/view/body-works-gym-spa/home,94,4.8,"SCO 70-71, Phase 9, Sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062, India"
HIIT GROUP,Chandigarh,+91 84488 11903,https://www.hiitgroup.co.in/,6,5,"Sector 47 D, Sector 47, Chandigarh, 160047, India"
Fitness club,Sahibzada Ajit Singh Nagar,,http://www.foreverliving.com/,18,4.9,"ho.no.1734, Punjab 160062, India"
Pro Ultimate Gyms Sector 71 Mohali,Sahibzada Ajit Singh Nagar,+91 62392 48526,https://proultimategyms.in/,789,4.8,"Sector 71 SCO 39,40 Pro Ultimate Gyms, Sector 71, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
GYMaholic,Sahibzada Ajit Singh Nagar,+91 89687 15063,https://www.gymaholic71.com/,379,4.8,"33-34, Kargil Park Rd, Sector 71, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Gold's Gym Mohali,Sahibzada Ajit Singh Nagar,+91 97791 59099,http://goldsgym.in/our-gyms/gold-s-gym-phase-8,982,4.4,"SAS Infonet Building, C-133, Mohali Bypass, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Lifeline Fitness,Sahibzada Ajit Singh Nagar,+91 97797 39888,https://lifelinefitness.in/,81,4.2,"Plot E-310, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
"LVL UP GYMS, MOHALI",Sahibzada Ajit Singh Nagar,+91 82830 49000,http://www.levelupgyms.info/,633,4.6,"D 228, 1st Floor, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
Ultimate Physique Fitness Gym,Sahibzada Ajit Singh Nagar,+91 98789 89322,https://upfgym.com/,217,4.8,"3rd floor, Mann Bhawan, SCO -958, Mataur, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Club 72 Gym - Vajra Martial Arts Academy,Sahibzada Ajit Singh Nagar,+91 92057 40391,https://www.club72gym.com/,18,4.7,"Plot No. A 33, Sector 72, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Pro Ultimate Gyms Sector 91 Mohali,Sahibzada Ajit Singh Nagar,+91 94073 00076,https://proultimategyms.in/,1412,4.9,"SCO 82-83 Floor, 1-2, Sector 91, Sahibzada Ajit Singh Nagar, Punjab 140307, India"
